"ID","Key","Value"
"id-432f88fd6f8a44a49e69e7edef9b3ca4","Name (en)","Reliable energy grid"
"id-432f88fd6f8a44a49e69e7edef9b3ca4","Level","0"
"id-081f785e5442409dbf90abbc121cf91f","Name (en)","Future-proof energy grid"
"id-081f785e5442409dbf90abbc121cf91f","Level","0"
"id-24459716ccb14af5bff12769ebcb5476","Code","C.H"
"id-24459716ccb14af5bff12769ebcb5476","Name (en)","Distribute grid operator data"
"id-24459716ccb14af5bff12769ebcb5476","Level","0"
"id-6768bc9140094b1daa8706577a9a0b6e","Code","E.D"
"id-6768bc9140094b1daa8706577a9a0b6e","Name (en)","Getting and keeping employees employable"
"id-6768bc9140094b1daa8706577a9a0b6e","Level","0"
"id-4993de1666b84efcbc102bcd6102ada2","Code","C.E"
"id-4993de1666b84efcbc102bcd6102ada2","Name (en)","Coordinate desired and available transport capacity"
"id-4993de1666b84efcbc102bcd6102ada2","Level","0"
"id-c4f94ef59a58454dab3cfa4fad9532b0","Name (en)","Transport capacity"
"id-c4f94ef59a58454dab3cfa4fad9532b0","Level","0"
"id-b0777c12113c43e9b139450386b0e543","Name (en)","Transport capacity"
"id-b0777c12113c43e9b139450386b0e543","Level","0"
"id-a5b3cfa283954862b6d6a05af2acd12d","Code","E.G"
"id-a5b3cfa283954862b6d6a05af2acd12d","Name (en)","Making financial assets and information available"
"id-a5b3cfa283954862b6d6a05af2acd12d","Level","0"
"id-f7657c774e014b028bb27fdcb369094e","Name (en)","Grid operator service provision"
"id-f7657c774e014b028bb27fdcb369094e","Documentation (en)","The services provided by the grid operator to stakeholders in accordance with the statutory duties."
"id-df9fefba488846358a0b0593b99c6284","Code","C.A"
"id-df9fefba488846358a0b0593b99c6284","Name (en)","Install and change connections"
"id-df9fefba488846358a0b0593b99c6284","Level","0"
"id-4c5c4321cf854bb5a4c4cb331592eff9","Name (en)","Energy transport"
"id-4c5c4321cf854bb5a4c4cb331592eff9","Level","0"
"id-988752337f59432bb5552965cb7a96cc","Code","E.C"
"id-988752337f59432bb5552965cb7a96cc","Name (en)","Ensure business continuity and compliance"
"id-988752337f59432bb5552965cb7a96cc","Level","0"
"id-66cbd1922333427da4a6446c460c5c85","Code","C.D1"
"id-66cbd1922333427da4a6446c460c5c85","Name (en)","Maintain energy grids - maintenance"
"id-66cbd1922333427da4a6446c460c5c85","Level","0"
"id-28244c4072af498b8feadad250cd0bcb","Name (en)","Connection"
"id-28244c4072af498b8feadad250cd0bcb","Level","0"
"id-da04b6a655c84d2693117092a270ebb6","Name (en)","Transport capacity"
"id-da04b6a655c84d2693117092a270ebb6","Level","0"
"id-85915bb09ec54b1d95d556261edaac4d","Name (en)","Asset owner (on behalf of society)"
"id-240d25a929a04c9aaad83d1b60316aa2","Code","E"
"id-240d25a929a04c9aaad83d1b60316aa2","Name (en)","Support grid management"
"id-240d25a929a04c9aaad83d1b60316aa2","Documentation (en)","The ability to provide direction and support for the management of energy networks. This concerns everything that is necessary for a grid operator to function as an organization."
"id-a99aa3693b804cd9ac86de7c3cb1d64c","Name (en)","Grid user"
"id-0ecbd9d1faaa47a49a508613dea2efd0","Code","E.B"
"id-0ecbd9d1faaa47a49a508613dea2efd0","Name (en)","Change business resources"
"id-0ecbd9d1faaa47a49a508613dea2efd0","Level","0"
"id-2653d94e08524482adaf3439ed2972e3","Code","C.G"
"id-2653d94e08524482adaf3439ed2972e3","Name (en)","Allocate energy exchange"
"id-2653d94e08524482adaf3439ed2972e3","Level","0"
"id-f6eb2df1c8894a1a89ec05d23dd4b68b","Code","E.A"
"id-f6eb2df1c8894a1a89ec05d23dd4b68b","Name (en)","Determine and monitor strategy and plans"
"id-f6eb2df1c8894a1a89ec05d23dd4b68b","Level","0"
"id-004df98f51294606866af83c7483aaec","Name (en)","Marketparty"
"id-a8ee9344b0964a059a650069d509d69a","Name (en)","Transport capacity"
"id-a8ee9344b0964a059a650069d509d69a","Level","0"
"id-91bf847e403945859162d47ea5d7490f","Code","C.C"
"id-91bf847e403945859162d47ea5d7490f","Name (en)","Adjust energy grid plan driven"
"id-91bf847e403945859162d47ea5d7490f","Level","0"
"id-3716424db89446b59aaef8164198f9f6","Code","C.D2"
"id-3716424db89446b59aaef8164198f9f6","Name (en)","Maintain energy grids - disturbance recovery"
"id-3716424db89446b59aaef8164198f9f6","Level","0"
"id-22208ac444694509937f72f3542af8e2","Name (en)","Transport capacity"
"id-22208ac444694509937f72f3542af8e2","Level","0"
"id-63641939a77640b887628b46caf81710","Code","E.E"
"id-63641939a77640b887628b46caf81710","Name (en)","Providing information"
"id-63641939a77640b887628b46caf81710","Level","0"
