"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-1c9b7a6f113442cea7b717989b3638ea","AccessRelationship","","","id-718759","id-722918",""
"id-9c9f01a2dca747c984df0761a77012d6","AccessRelationship","","","id-718819","id-736122",""
"id-260b7a9bc4304ceaaa8b386c83022aa6","AccessRelationship","","","id-711331","id-729643",""
"id-b2795c1524df4285981cc1fc1c55eec9","AccessRelationship","","","id-718811","id-736124",""
"id-f2142eacc39b4a91bf04fad3e96b4941","AccessRelationship","","","id-718836","id-736067",""
"id-a874c1ee978b49d4bb395120cedf2b3e","AccessRelationship","","","id-718815","id-736160",""
"id-b109761ea4954a6c80c5b88b06c2fe2a","AccessRelationship","","","id-718761","id-472747",""
"id-01fa792742fe4fb5bd37fc02be5134ca","AccessRelationship","","","id-718766","id-722939",""
"id-3c6f47c937b54d4780ae9548136c09b8","AccessRelationship","","","id-736540","id-469029",""
"id-77018bbff10949da88f17270d39f034e","AccessRelationship","","","id-736439","id-736025",""
"id-ca44ed6bc7f347e3b3a4fd16c9e572df","AccessRelationship","","","id-736537","id-736077",""
"id-352ea6e8b9ac4d829e07185d4efd8b07","AccessRelationship","","","id-718838","id-736102",""
"id-6f2d9481178544c0b094527ac8f196f8","AccessRelationship","","","id-718740","id-469165",""
"id-07e886cd22b44379a87cd80594e3fb3d","AccessRelationship","","","id-59de618dd1ec4fb6b7a2bad6cac7c807","id-27b9ed3707564206939d0aba30e7fb44",""
"id-8beecc3e2d884a288d72b7047dc22ce9","AccessRelationship","","","id-718739","id-472581",""
"id-a4a4aa6597a84aafb24dec3f1e989acc","AccessRelationship","","","id-736533","id-736069",""
"id-8b01e48f9c604dc997fd9823d3032685","AccessRelationship","","","id-718747","id-469451",""
"id-cd9a20e8a71a4a4fac41437ce28c3a3a","AccessRelationship","","","id-736509","id-470726",""
"id-3ba46e73883140d29892cb89f06cbf8e","AccessRelationship","","","id-718820","id-736150",""
"id-55475603d3324a948a2e063d8a3987c4","AccessRelationship","","","id-718712","id-729620",""
"id-b132ce345ae24da1bf29a993c1278c84","AccessRelationship","","","id-718695","id-479255",""
"id-d34d0e90474346b18ea6cf1619400647","AccessRelationship","","","id-718706","id-723073",""
"id-42d8c43daf17480688f5fe86cb0046b9","AccessRelationship","","","id-711316","id-729618",""
"id-51c376359d8c4130957a1befc7ec9bd0","AccessRelationship","","","id-718334","id-729646",""
"id-00c114f680b94a73bd16d6e4e3ecb6a5","AccessRelationship","","","id-736551","id-470684",""
"id-8016a961d3f04b3e9b88e843f736f836","AccessRelationship","","","id-736554","id-736086",""
"id-41a2e69f661343ef978849e5c722455c","AccessRelationship","","","id-718821","id-736118",""
"id-fff5efd563884e629dc50f9065cef852","AccessRelationship","","","id-711323","id-729570",""
"id-3799da3eded6446f8489e66a157001ef","AccessRelationship","","","id-736343","id-736144",""
"id-5bcd31ab74db45918e27fe251a8c542c","AccessRelationship","","","id-718170","id-729659",""
"id-5f287537bbb4459abb061a4249c28c1f","AccessRelationship","","","id-718698","id-723032",""
"id-e581fe7ab0fb407ca0a4dc8ef64f0719","AccessRelationship","","","id-736549","id-736106",""
"id-8b4ab624b892498a80a7e286cad89546","AccessRelationship","","","id-718720","id-24c63d5d05604edb8476d9d9b2db579d",""
"id-d7fe61c0ed854c0e90a3b7c6514ebad2","AccessRelationship","","","id-718735","id-469567",""
"id-986422d26d5b4fb2b2ba762f186091d5","AccessRelationship","","","id-718837","id-736096",""
"id-93339c735bb9426c807b2b8da53d7685","AccessRelationship","","","id-718822","id-736142",""
"id-0c2cdac55a244cfcbd24d0b35079dc2e","AccessRelationship","","","id-718726","id-469207",""
"id-28db0d93baca42cabc9c561b615832b5","AccessRelationship","","","id-736308","id-736178",""
"id-473cb1dcb0684bcf9d07aa4382c39987","AccessRelationship","","","id-718695","id-470526",""
"id-d9311967b4094b54a8bff44a217b6605","AccessRelationship","","","id-736547","id-736090",""
"id-591ec948a6854d9d9e82731001fa20df","AccessRelationship","","","id-718730","id-1a44ce1a105c4e78be2a1e38fd9d072a",""
"id-afbf4d8db86345f2aa50dc92468e5aaf","AccessRelationship","","","id-718769","id-469427",""
"id-67b82c46f9fd4cbebdbe096f9a39aa89","AccessRelationship","","","id-736465","id-736043",""
"id-5ffb4ff49e5d44b3bfef22ab9b65592e","AccessRelationship","","","id-736377","id-468932",""
"id-f1a3e9d4fc7943119aafcb4cfe095434","AccessRelationship","","","id-711342","id-729585",""
"id-1e95d1699fd243ddad12cc4c3477d9be","AccessRelationship","","","id-736356","id-736114",""
"id-bbf4ebfa3ce34055afe348ff4842577e","AccessRelationship","","","id-718758","id-469726",""
"id-b8dcf8d046be47208f8cb611b4abd582","AccessRelationship","","","id-736426","id-736029",""
"id-51fef7a2fe654fc292702f575cf27597","AccessRelationship","","","id-736559","id-736055",""
"id-29ff75bff7ba46e3ade2c6e134b104ae","AccessRelationship","","","id-718789","id-723094",""
"id-ef8d258db5244dbf86a66611af635855","AccessRelationship","","","id-718760","id-470129",""
"id-28287e715a3e4da59f808f220e337e70","AccessRelationship","","","id-718718","id-469215",""
"id-ad74faf203d04bd1b593960eb84a1e54","AccessRelationship","","","id-736292","id-736174",""
"id-18cb91e991384741a0494d4b76263c74","AccessRelationship","","","id-718750","id-469958",""
"id-b755120737524dc485f83fe035365577","AccessRelationship","","","id-736527","id-736112",""
"id-223eb16d03a048a38bf5b7ed2b009542","AccessRelationship","","","id-736421","id-736019",""
"id-732cf8a4a69d4680a80cc85bc9d171a4","AccessRelationship","","","id-736325","id-469282",""
"id-579a4d6284814452aace658c68f85adf","AccessRelationship","","","id-718715","id-468996",""
"id-4f407ef3044f4320a60c573d2669371c","AccessRelationship","","","id-718704","id-722908",""
"id-4b5202a5a453469faee91b80c9eb64a1","AccessRelationship","","","id-718720","id-723122",""
"id-ef90fe4dbdab454392a7bd7fc0575fd6","AccessRelationship","","","id-736515","id-8d47b570d1134cf78ba44f1b48ca3705",""
"id-59c43b59bb014d539dfea4f53191c0f8","AccessRelationship","","","id-718845","id-736059",""
"id-99f7320a0a0840eebe9fa99218f43aa6","AccessRelationship","","","id-736432","id-736015",""
"id-d022448973c444af9b0d441d5b26c0af","AccessRelationship","","","id-718728","id-470230",""
"id-731ba534521c4fe7bd41044c5ee0dd03","AccessRelationship","","","id-718726","id-723037",""
"id-45d2c8b11a424dfe9b967e98c2f2f7ef","AccessRelationship","","","id-711278","id-729622",""
"id-ae6e96edd892496db41ab8075d88bc42","AccessRelationship","","","id-736524","id-736104",""
"id-a8baa22804fd42d3b6af220ac924a935","AccessRelationship","","","id-718763","id-729656",""
"id-60b8964d10494d31afe74d33a58ef094","AccessRelationship","","","id-718338","id-729667",""
"id-9c5024b11c404f1685b695232e100258","AccessRelationship","","","id-718734","id-723005",""
"id-b5b32027f95044ff9c845e5fb21386e7","AccessRelationship","","","id-718817","id-736156",""
"id-2bc743d264d742109131347762ac30d5","AccessRelationship","","","id-736493","id-470995",""
"id-1b6e9f8747994bf48a871bb2307ecff1","AccessRelationship","","","id-736500","id-a1d80df9dbcb472e85389a0f60495315",""
"id-b3a14c269c654e21b693cd929c2dabc8","AccessRelationship","","","id-718168","id-729558",""
"id-7e653ecfec0442028a553c2812805056","AccessRelationship","","","id-736482","id-736176",""
"id-da0a8c967c2544579067c5ee5351c876","AccessRelationship","","","id-736304","id-736053",""
"id-d4e8112a917246c0bc689caee9d92159","AccessRelationship","","","id-718756","id-722927",""
"id-be1920f6fc634d74bd3a43fd64652c7d","AccessRelationship","","","id-718736","id-722996",""
"id-53c6aad937774e5fb1bea9ab2351eb7f","AccessRelationship","","","id-736423","id-736027",""
"id-8b5faaa74f294cd8a477fad05cf21eb4","AccessRelationship","","","id-718171","id-729632",""
"id-6aa3425e58bd479592cffdafcffeebec","AccessRelationship","","","id-736405","id-469285",""
"id-c42f3d944ed94c5c89493e48466c8056","AccessRelationship","","","id-711282","id-729629",""
"id-ff869d658ff84b39a1b50631d1e7a771","AccessRelationship","","","id-718771","id-469274",""
"id-61c75cc2d6d44f64bb8b45d6dc7ed860","AccessRelationship","","","id-736543","id-736094",""
"id-d31e3c21ed614690b0768d8a8e1f8454","AccessRelationship","","","id-718824","id-736039",""
"id-9bd49ce25c34427aa2ec8aa868aa2c94","AccessRelationship","","","id-718173","id-729665",""
"id-9d171b94780b4904bda26f858a3b01e3","AccessRelationship","","","id-736278","id-736180",""
"id-be18b7f609dd495d98c9c59cdba4575c","AccessRelationship","","","id-718835","id-736110",""
"id-2599636545904b62ba9cebac3f11940c","AccessRelationship","","","id-736449","id-736041",""
"id-65a39466419b4da9a33ff19ba07eac9a","AccessRelationship","","","id-edf64465261b45aeb7a1a82f1de53cbe","id-468873",""
"id-78046a1ed17640ed84f1d988be53b030","AccessRelationship","","","id-736496","id-736168",""
"id-32f7bf8b89514789b24ae082b28c6c6d","AccessRelationship","","","id-718733","id-472136",""
"id-901888ed3db74dd7be9098a5c1af4398","AccessRelationship","","","id-736320","id-736172",""
"id-f492db64352643be95fb0ca18c05a73b","AccessRelationship","","","id-736318","id-736164",""
"id-95b191c9567648e7b33e8f3bb16e1364","AccessRelationship","","","id-718722","id-469075",""
"id-0645939c5fb945b18835fc6d4516b190","AccessRelationship","","","id-718758","id-722911",""
"id-e304578ba5794f558a2173ff359d21ee","AccessRelationship","","","id-718345","id-729684",""
"id-5edd0d14e9ff494fb517e77a701388b1","AccessRelationship","","","id-718780","id-723109",""
"id-32cbdacc6eda46d485cf296ad9183ac0","AccessRelationship","","","id-718341","id-729661",""
"id-0e73941723dc470b9e3c1d51aa1e4653","AccessRelationship","","","id-718755","id-471288",""
"id-a88bfb3ca0444f3c955e492c74c3e599","AccessRelationship","","","id-718708","id-479865",""
"id-0d698f28873e46a39e78a6bb73e9506d","AccessRelationship","","","id-718782","id-723105",""
"id-6dd4cdef75f84716a5c49539d93fb81a","AccessRelationship","","","id-718711","id-469961",""
"id-abd944d973aa48adbc18f649f5f420dc","AccessRelationship","","","id-736374","id-736031",""
"id-551c57a280db48fcb570e8d543652e7c","AccessRelationship","","","id-736415","id-736035",""
"id-c0b4f736f0df442c9f96d7b25a991bc4","AccessRelationship","","","id-718757","id-722915",""
"id-6e61750f4f9249e0bbe93bcb7b69503f","AccessRelationship","","","id-711284","id-729634",""
"id-3393a433fda544ce993289bf5314ef48","AccessRelationship","","","id-718702","id-481149",""
"id-28092834460f4176a486c53f9a84e3bf","AccessRelationship","","","id-718822","id-736132",""
"id-65d78ca4a09e44469608fb773e6f1920","AccessRelationship","","","id-718810","id-722954",""
"id-f3f5e81604a1456b889e5b5084445984","AccessRelationship","","","id-718755","id-722923",""
"id-9790ebd9950349a1ae3da3ebf5b95c28","AccessRelationship","","","id-718827","id-736120",""
"id-78f6a2f5c7a24ec4baf5d87a6209ae17","AccessRelationship","","","id-718762","id-470534",""
"id-c388c8ead1cb46eaade6a2d00aab9797","AccessRelationship","","","id-718707","id-c0b72be21b444a749210910555e7dd13",""
"id-f323ce306fbf4d349238073dd58e6a5f","AccessRelationship","","","id-736280","id-736079",""
"id-bb5db2353017484a9c5760371c16c22c","AccessRelationship","","","id-718746","id-72c5c85ed0bf43cda502df207414640c",""
"id-39e3314f31bd4fe1ac770eb6c999051d","AccessRelationship","","","id-718757","id-469705",""
